DATE,CPILFENS
1957-01-01,28.5666666666666667
1957-04-01,28.8333333333333333
1957-07-01,29.0000000000000000
1957-10-01,29.3333333333333333
1958-01-01,29.4333333333333333
1958-04-01,29.5000000000000000
1958-07-01,29.6000000000000000
1958-10-01,29.8333333333333333
1959-01-01,29.9333333333333333
1959-04-01,30.0666666666666667
1959-07-01,30.2333333333333333
1959-10-01,30.5000000000000000
1960-01-01,30.5666666666666667
1960-04-01,30.6000000000000000
1960-07-01,30.6000000000000000
1960-10-01,30.8000000000000000
1961-01-01,30.8000000000000000
1961-04-01,30.9000000000000000
1961-07-01,31.0333333333333333
1961-10-01,31.2000000000000000
1962-01-01,31.2333333333333333
1962-04-01,31.3666666666666667
1962-07-01,31.4333333333333333
1962-10-01,31.6000000000000000
1963-01-01,31.5333333333333333
1963-04-01,31.7333333333333333
1963-07-01,31.8666666666666667
1963-10-01,32.0666666666666667
1964-01-01,32.1333333333333333
1964-04-01,32.2333333333333333
1964-07-01,32.2666666666666667
1964-10-01,32.4666666666666667
1965-01-01,32.6000000000000000
1965-04-01,32.7000000000000000
1965-07-01,32.7333333333333333
1965-10-01,32.9333333333333333
1966-01-01,33.0000000000000000
1966-04-01,33.4000000000000000
1966-07-01,33.7000000000000000
1966-10-01,34.0666666666666667
1967-01-01,34.2000000000000000
1967-04-01,34.5000000000000000
1967-07-01,34.8333333333333333
1967-10-01,35.3000000000000000
1968-01-01,35.6333333333333333
1968-04-01,36.0333333333333333
1968-07-01,36.5333333333333333
1968-10-01,37.0666666666666667
1969-01-01,37.5333333333333333
1969-04-01,38.2000000000000000
1969-07-01,38.6666666666666667
1969-10-01,39.3000000000000000
1970-01-01,39.8333333333333333
1970-04-01,40.5333333333333333
1970-07-01,41.0666666666666667
1970-10-01,41.8666666666666667
1971-01-01,42.1333333333333333
1971-04-01,42.5666666666666667
1971-07-01,42.9666666666666667
1971-10-01,43.3000000000000000
1972-01-01,43.5000000000000000
1972-04-01,43.8666666666666667
1972-07-01,44.2333333333333333
1972-10-01,44.6000000000000000
1973-01-01,44.7333333333333333
1973-04-01,45.2666666666666667
1973-07-01,45.7333333333333333
1973-10-01,46.6000000000000000
1974-01-01,47.1333333333333333
1974-04-01,48.4333333333333333
1974-07-01,50.1000000000000000
1974-10-01,51.7000000000000000
1975-01-01,52.5666666666666667
1975-04-01,53.5000000000000000
1975-07-01,54.2666666666666667
1975-10-01,55.2333333333333333
1976-01-01,56.0333333333333333
1976-04-01,56.9666666666666667
1976-07-01,57.9333333333333333
1976-10-01,58.8000000000000000
1977-01-01,59.5333333333333333
1977-04-01,60.6333333333333333
1977-07-01,61.5333333333333333
1977-10-01,62.4000000000000000
1978-01-01,63.3000000000000000
1978-04-01,64.7333333333333333
1978-07-01,66.2000000000000000
1978-10-01,67.7000000000000000
1979-01-01,69.0000000000000000
1979-04-01,70.8000000000000000
1979-07-01,72.7000000000000000
1979-10-01,74.9333333333333333
1980-01-01,77.4000000000000000
1980-04-01,80.2000000000000000
1980-07-01,81.4666666666666667
1980-10-01,84.0666666666666667
1981-01-01,85.7000000000000000
1981-04-01,87.7666666666666667
1981-07-01,90.8333333333333333
1981-10-01,92.6666666666666667
1982-01-01,93.4666666666666667
1982-04-01,95.4000000000000000
1982-07-01,97.0333333333333333
1982-10-01,97.5000000000000000
1983-01-01,97.8666666666666667
1983-04-01,98.8333333333333333
1983-07-01,100.1000000000000000
1983-10-01,101.6666666666666667
1984-01-01,102.6333333333333333
1984-04-01,103.8666666666666667
1984-07-01,105.1666666666666667
1984-10-01,106.5000000000000000
1985-01-01,107.4000000000000000
1985-04-01,108.5333333333333333
1985-07-01,109.4666666666666667
1985-10-01,111.0666666666666667
1986-01-01,111.9333333333333333
1986-04-01,112.9000000000000000
1986-07-01,113.9333333333333333
1986-10-01,115.3333333333333333
1987-01-01,116.2333333333333333
1987-04-01,117.5666666666666667
1987-07-01,118.6666666666666667
1987-10-01,120.3333333333333333
1988-01-01,121.2666666666666667
1988-04-01,122.7000000000000000
1988-07-01,123.9333333333333333
1988-10-01,125.7666666666666667
1989-01-01,126.9666666666666667
1989-04-01,128.2666666666666667
1989-07-01,129.4333333333333333
1989-10-01,131.2333333333333333
1990-01-01,132.9000000000000000
1990-04-01,134.4666666666666667
1990-07-01,136.3666666666666667
1990-10-01,138.1000000000000000
1991-01-01,140.2000000000000000
1991-04-01,141.3000000000000000
1991-07-01,142.7000000000000000
1991-10-01,144.2333333333333333
1992-01-01,145.6333333333333333
1992-04-01,146.7333333333333333
1992-07-01,147.7000000000000000
1992-10-01,149.1666666666666667
1993-01-01,150.7000000000000000
1993-04-01,151.7333333333333333
1993-07-01,152.5000000000000000
1993-10-01,153.7666666666666667
1994-01-01,155.0333333333333333
1994-04-01,156.0333333333333333
1994-07-01,156.9666666666666667
1994-10-01,158.0333333333333333
1995-01-01,159.5666666666666667
1995-04-01,160.8000000000000000
1995-07-01,161.6000000000000000
1995-10-01,162.8333333333333333
1996-01-01,164.1666666666666667
1996-04-01,165.1000000000000000
1996-07-01,165.9000000000000000
1996-10-01,167.0666666666666667
1997-01-01,168.2666666666666667
1997-04-01,169.3000000000000000
1997-07-01,169.7000000000000000
1997-10-01,170.7666666666666667
1998-01-01,171.9666666666666667
1998-04-01,173.0333333333333333
1998-07-01,173.7666666666666667
1998-10-01,174.7666666666666667
1999-01-01,175.7333333333333333
1999-04-01,176.6666666666666667
1999-07-01,177.2333333333333333
1999-10-01,178.3000000000000000
2000-01-01,179.6000000000000000
2000-04-01,180.9333333333333333
